code,description,concept_id,vocabulary_id,domain_id,standard_concept
JKQX020,"Anatomopathological examination for carcinology of a hysterectomy specimen, with annexectomy and omentectomy",,,,Non-standard
JFQX005,Anatomopathological examination for carcinology of anterior pelvectomy part,,,,Non-standard
HHQX004,Anatomopathological examination for carcinology of endoscopic excisional part of 3 to 5 lesions of the colon and / or rectum,,,,Non-standard
GFQX009,"Anatomopathological examination for carcinology of non-anatomical pulmonary excision and / or segmentectomy, differentiated, without rib or vertebra resection",,,,Non-standard
HNQX004,Anatomopathological examination for oncology of a major duodenal papilla resection piece [ampullectomy],,,,Non-standard
JDQX004,Anatomopathological examination for oncology of a part of a total cystectomy,,,,Non-standard
JGQX005,Anatomopathological examination for oncology of a part of a total vesiculo-prostato-cystectomy,,,,Non-standard
HDQX007,Anatomopathological examination for oncology of a part of total pharyngolaryngectomy,,,,Non-standard
JMQX004,Anatomopathological examination for oncology of a part of total vulvectomy,,,,Non-standard
JDQX005,Anatomopathological examination for oncology of a partial cystectomy part,,,,Non-standard
QEQX004,Anatomopathological examination for oncology of a partial or total mastectomy part with unifocal lesion,,,,Non-standard
JHQX004,Anatomopathological examination for oncology of a partial orchiectomy part,,,,Non-standard
GDQX004,Anatomopathological examination for oncology of a piece of laryngeal cordectomy,,,,Non-standard
GCQX004,Anatomopathological examination for oncology of a piece of resection of the nasal cavity [nasal cavity] and / or paranasal sinus,,,,Non-standard
JJQX008,Anatomopathological examination for oncology of a salpingectomy specimen,,,,Non-standard
FFQX005,Anatomopathological examination for oncology of a splenectomy part,,,,Non-standard
JFQX004,Anatomopathological examination for oncology of a total pelvectomy part,,,,Non-standard
HEQX008,Anatomopathological examination for oncology of an esophago-pharyngolaryngectomy or esophagogastrectomy part,,,,Non-standard
HHQX005,Anatomopathological examination for oncology of endoscopic excisional part of 1 or 2 lesions of the colon and / or rectum,,,,Non-standard
HLQX004,Anatomopathological examination for oncology of part of a partial hepatectomy,,,,Non-standard
GDQX008,Anatomopathological examination for oncology of part of partial laryngectomy and / or partial pharyngectomy,,,,Non-standard
HNQX007,Anatomopathological examination for oncology of part of partial pancreatectomy with splenectomy,,,,Non-standard
PZQX008,Anatomopathological examination for oncology of partial or total limb amputation part,,,,Non-standard
HLQX005,Anatomopathological examination for oncology of parts of several partial hepatectomies,,,,Non-standard
QEQX007,Anatomopathological examination for oncology of several parts of partial and / or total mastectomy with subclinical lesion or plurifocal lesion on each excisional part,,,,Non-standard
QEQX005,Anatomopathological examination for oncology of several parts of partial and / or total mastectomy with unifocal lesion on each part of excision,,,,Non-standard
BKQX004,Anatomopathological examination for oncology of the orbit exenteration piece,,,,Non-standard
17.02.03.01,Anatomopathological examination of a fragment of resection of an anatomical structure,,,,Non-standard
FCQX004,Anatomopathological examination of a lymph node [lymph node] excision piece,,,,Non-standard
17.02.02.02,Anatomopathological examination of a mucosal biopsy sample,,,,Non-standard
ZZQX127,Anatomopathological examination of a piece of excision in differentiated fragments of an anatomical structure,,,,Non-standard
FCQX008,Anatomopathological examination of a piece of excision of 2 sentinel lymph nodes [ganglia],,,,Non-standard
05.01.08.02,Anatomopathological examination of a piece of organ resection of the lymphatic system,,,,Non-standard
ZZQX188,"Anatomopathological examination of a single piece of excision or in undifferentiated fragments, of an anatomical structure",,,,Non-standard
JQQX109,Anatomopathological examination of abortion product before the 14th week of amenorrhea,,,,Non-standard
ZZQX192,Anatomopathological examination of an excision piece in fragments differentiated from several anatomical structures,,,,Non-standard
17.02.02.01,Anatomopathological examination of biopsy sample of anatomical structure,,,,Non-standard
17.02.03.02,Anatomopathological examination of excisional part,,,,Non-standard
17.02.05,Anatomopathological examination of excisional part,,,,Non-standard
ZZQX180,Anatomopathological examination of excisional part of 2 anatomical structures,,,,Non-standard
07.01.13.03,Anatomopathological examination of excisional part of the digestive tract,,,,Non-standard
08.01.09.05,Anatomopathological examination of excisional part of the female genital tract,,,,Non-standard
06.01.11.04,Anatomopathological examination of excisional part of the intrathoracic respiratory system,,,,Non-standard
08.01.09.04,Anatomopathological examination of excisional part of the male genital tract,,,,Non-standard
07.01.13.02,Anatomopathological examination of excisional part of the mouth or pharynx,,,,Non-standard
15.01.07.02,"Anatomopathological examination of excisional part of the osteoarticular and muscular apparatus, without topographic precision",,,,Non-standard
08.01.09.03,Anatomopathological examination of excisional part of the urinary tract,,,,Non-standard
ZZQX178,Anatomopathological examination of excisional pieces of 3 anatomical structures,,,,Non-standard
ZZQX181,Anatomopathological examination of excisional pieces of 4 or more anatomical structures,,,,Non-standard
15.01.07.01,Anatomopathological examination of limb amputation part,,,,Non-standard
08.01.09.06,Anatomopathological examination of pelvic excisional part,,,,Non-standard
16.02.06,Anatomopathological examination of the breast,,,,Non-standard
16.02.06.02,Anatomopathological examination of the breast,,,,Non-standard
07.01.13,Anatomopathological examination of the digestive system,,,,Non-standard
09.01.07,"Anatomopathological examination of the embryo, fetus and placenta",,,,Non-standard
01.01.14,Anatomopathological examination of the nervous system,,,,Non-standard
15.01.07,Anatomopathological examination of the osteoarticular and muscular apparatus,,,,Non-standard
08.01.09,Anatomopathological examination of the urinary and genital tract,,,,Non-standard
06.01.11.03,Anatomopathological examination of upper respiratory tract excision,,,,Non-standard
QZQX005,Anatomopathological examination with a carcinological aim of a piece of excision of skin and / or soft sub-fascial [susaponeurotic] ??tissue of 5 cm? or more,,,,Non-standard
QZQX004,Anatomopathological examination with a carcinological aim of a piece of excision of skin and / or soft susfascial [susaponeurotic] ??tissue of less than 5 cm?,,,,Non-standard
FBQX004,Anatomopathological examination with a carcinological aim of a piece of thymus excision or thymic remains,,,,Non-standard
PDQX005,Anatomopathological examination with a carcinological aim of a piece of tumor excision of the soft fascial and / or subfascial tissues [aponeurotic and / or sub-fascial],,,,Non-standard
HPQX005,"Anatomopathological examination with a carcinological aim of excision of tumor of the greater omentun, peritoneum and / or peritoneal fold [meso]",,,,Non-standard
PZQX005,Anatomopathological examination with a carcinological aim of part of partial or total amputation of a finger or a toe,,,,Non-standard
QZQX032,Anatomopathological examination with a carcinological aim of several pieces of excision of skin and / or soft subfascial [susaponeurotic] ??tissue of less than 5 cm?,,,,Non-standard
JHQX007,Anatomopathological examination with carcinological aim of a piece of total amputation of the penis,,,,Non-standard
17.02,ANATOMOPATHOLOGICAL TISSUE EXAMINATION,,,,Non-standard
19.02.01,Anesthesia,,,,Non-standard
YYYY044,"Anesthetic assistance during labor, on call from the obstetrician",,,,Non-standard
ADLH002,"Anesthetic infiltration of a dividing branch of the trigeminal nerve with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AHLH011,"Anesthetic infiltration of dorsal branch of spinal nerve with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AJLH006,"Anesthetic infiltration of splanchnic nerves with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AJLJ001,"Anesthetic infiltration of splanchnic nerves with diagnostic and prognostic evaluation, with ultrasound guidance",,,,Non-standard
AJLB002,"Anesthetic infiltration of the cervicothoracic [stellate] ganglion, with diagnostic and prognostic evaluation",,,,Non-standard
ADLH003,"Anesthetic infiltration of the glossopharyngeal nerve with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AJLH010,"Anesthetic infiltration of the hypogastric or sacral plexus with diagnostic and prognostic evaluation, with CT guidance",,,,Non-standard
AJLH002,"Anesthetic infiltration of the hypogastric or sacral plexus with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AJLH001,"Anesthetic infiltration of the lumbar sympathetic chain with diagnostic and prognostic evaluation, with CT guidance",,,,Non-standard
AJLH015,"Anesthetic infiltration of the lumbar sympathetic chain with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AHLH005,"Anesthetic infiltration of the lumbosacral plexus with diagnostic and prognostic evaluation, with CT guidance",,,,Non-standard
AJLH012,"Anesthetic infiltration of the pterygopalatine ganglion with diagnostic and prognostic evaluation, with CT guidance",,,,Non-standard
AJLH004,"Anesthetic infiltration of the pterygopalatine lymph node with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AHLH001,"Anesthetic infiltration of the spinal nerve at its spinal emergence with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AHLB017,"Anesthetic infiltration of the superficial nerve trunk with diagnostic and prognostic evaluation, with electrical stimulodetection",,,,Non-standard
AHLB007,"Anesthetic infiltration of the superficial nerve trunk with diagnostic and prognostic evaluation, without electrical stimulodetection",,,,Non-standard
AJLH018,"Anesthetic infiltration of the sympathetic thoracic chain with diagnostic and prognostic evaluation, with CT guidance",,,,Non-standard
AJLH014,"Anesthetic infiltration of the thoracic sympathetic chain with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
ADLH001,"Anesthetic infiltration of the trigeminal ganglion with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
01.01.12,Anesthetic injection into the nervous system for diagnostic purposes,,,,Non-standard
